a,b,c,d,e,f,g,h,j,k,l,m,n,o,p,fecha,monto,score
4,0.7006,66263.64,9.0,0.0,0.0,AR,4,cat_ea962fb,0.0476553337959693,72.0,15.0,0,N,N,2020-04-17 10:19:21,46.03,14
4,0.7665,35582.09,2.0,0.3230215827338129,0.0,BR,2,cat_381751d,0.0523887570521672,43.0,43.0,0,N,N,2020-04-17 10:21:16,27.37,83
4,0.7048,103650.89,2.0,0.3424588342256793,2.0,BR,5,cat_75fd564,0.4025273991687612,803.0,7.0,1,,N,2020-04-17 10:29:20,19.49,30
4,0.7202,11333.83,29.0,0.2184538461538461,55.0,AR,13,cat_636069d,0.6407635967385907,4369.0,106.0,1,,Y,2020-04-17 11:12:22,19.95,3
2,0.6042,113465.52,2.0,0.0,2.0,AR,16,cat_a574c58,0.1150792711997787,672.0,250.0,1,,Y,2020-04-17 11:16:59,7.67,28
2,0.7631,777754.75,50.0,0.0,10.0,AR,7,cat_ccad3d2,0.4525771666012872,1449.0,539.0,1,,Y,2020-04-17 11:23:58,250.58,9
4,0.7782,282090.56,3.0,0.380926281172924,22.0,BR,6,cat_f2c9947,0.7724158388850739,1276.0,282.0,1,Y,N,2020-04-17 13:03:13,7.19,46
4,0.6866,171519.27,11.0,0.0,34.0,AR,7,cat_6bce977,0.6976265840952145,4435.0,1034.0,1,Y,Y,2020-04-17 13:53:39,37.97,22
4,0.6191,59997.13,50.0,0.0,5.0,AR,6,cat_43b9c10,0.0501618160504264,1789.0,409.0,1,,Y,2020-04-17 15:54:44,10.74,19
4,0.8041,30463.7,50.0,0.1864864864864864,8.0,BR,47,cat_f4bfc6b,0.0292188678598606,868.0,557.0,1,,Y,2020-04-17 15:58:35,7.29,81
1,0.8685,665996.1,50.0,0.0,10.0,BR,6,cat_dfa0165,0.4481350879929557,1247.0,489.0,1,,Y,2020-04-17 16:00:28,17.7,13
4,0.7454,2492.04,50.0,0.0,16.0,BR,10,cat_9a9a0f6,0.0368460189582755,4242.0,483.0,1,,Y,2020-04-17 16:37:12,27.96,36
4,0.7385,36574.87,23.0,0.556,83.0,BR,11,cat_0820fab,0.011536378193675,5203.0,125.0,1,Y,Y,2020-04-17 16:44:56,4.92,3
4,0.5759,22625.62,2.0,0.395825,0.0,AR,21,cat_a7d0f74,0.0276670582174318,1471.0,163.0,1,,Y,2020-04-17 16:51:49,18.42,3
4,0.8141,177878.77,33.0,1.0,1.0,BR,22,cat_0eb83e7,0.7968659098620705,2031.0,132.0,1,,N,2020-04-17 16:55:48,3.92,33
4,0.6311,430719.1,1.0,0.0,81.0,AR,8,cat_c00ebe0,0.6694295644362711,6031.0,2.0,1,N,N,2020-04-17 17:00:41,126.75,0
4,0.7331,129958.68,50.0,0.0,0.0,BR,21,cat_49e9ab0,0.8321362155100118,527.0,524.0,1,,Y,2020-04-17 18:32:10,88.62,78
2,0.5333,8742.23,50.0,0.0,2.0,AR,1,cat_5681b15,0.0848127891726271,2176.0,637.0,1,,Y,2020-04-17 18:33:53,16.87,33
4,0.8382,711109.11,3.0,0.0,6.0,BR,7,cat_bdb42e3,0.178604207044561,2159.0,11.0,1,,N,2020-04-17 18:52:35,96.1,14
4,0.7062,321842.59,4.0,0.1400650325162581,36.0,AR,47,cat_21ac14d,0.4376852826010377,3161.0,250.0,1,,Y,2020-04-17 19:02:55,30.68,93
4,0.7579,9106.27,3.0,0.1845493562231759,30.0,BR,11,cat_9c39285,0.7122364643849152,2453.0,87.0,1,,N,2020-04-17 19:08:29,13.77,27
4,0.8051,148894.33,8.0,0.0,0.0,BR,30,cat_dc76676,0.5405323971275598,502.0,97.0,1,N,N,2020-04-17 20:05:18,29.46,94
2,0.5293,13294.88,4.0,0.0,39.0,AR,24,cat_26d27cd,0.5145189048717747,5293.0,400.0,1,Y,Y,2020-04-17 20:28:36,14.73,41
3,0.7376,2131.39,1.0,0.6706989247311828,0.0,BR,7,cat_d9753d4,0.4518754687142525,599.0,0.0,1,,N,2020-04-17 21:26:17,2.93,63
4,0.8307,33065.04,50.0,0.0987623452931616,6.0,BR,1,cat_4249bd8,0.8867433890845006,1676.0,350.0,1,,Y,2020-04-17 22:55:31,15.75,59
4,0.8314,84364.62,50.0,0.44,7.0,BR,49,cat_af7cb90,0.1830446031862926,787.0,375.0,1,,Y,2020-04-17 23:25:13,4.43,66
2,0.0441,466.13,33.0,0.0,94.0,AR,2,cat_d5975ae,0.7900357266909168,562.0,72.0,1,Y,N,2020-04-18 00:41:39,10.74,5
2,0.9582,285.69,5.0,0.0,76.0,BR,4,cat_cc39363,0.6108444331296958,1705.0,333.0,1,Y,Y,2020-04-18 04:14:42,11.82,90
4,0.6509,4697.63,30.0,2.3166666666666664,2.0,BR,38,cat_562cb82,0.9945103581440086,716.0,152.0,1,,Y,2020-04-18 04:43:04,1.18,27
4,0.5333,128536.82,13.0,0.6650717703349281,2.0,BR,32,cat_96c1c2f,0.2512395660596418,1032.0,52.0,1,,N,2020-04-18 08:38:27,4.12,31
4,0.4045,16288.7,50.0,0.0,26.0,AR,28,cat_8bd8ceb,0.1897430011008616,2455.0,723.0,1,,Y,2020-04-18 08:41:24,52.18,54
4,0.6443,1758121.57,50.0,0.7023076923076923,6.0,AR,15,cat_d5975ae,0.9188263690350632,769.0,765.0,1,,Y,2020-04-18 09:43:27,4.59,13
4,0.8202,57960.94,50.0,0.0,3.0,BR,4,cat_887a2fb,0.3395130152660392,2104.0,63.0,1,,N,2020-04-18 10:17:40,41.16,60
4,0.7915,427051.15,39.0,0.1118625596974261,14.0,BR,4,cat_ec51874,0.6404898091064553,3270.0,780.0,1,,Y,2020-04-18 11:05:54,61.44,10
4,0.7743,2600.46,50.0,0.5461384615384615,87.0,AR,20,cat_fb54277,0.8310531700033472,6542.0,503.0,1,,Y,2020-04-18 11:14:21,9.98,71
4,0.8084,199658.92,32.0,0.0,22.0,BR,16,cat_4109cab,0.399311862133409,2305.0,74.0,1,,N,2020-04-18 11:23:09,33.08,69
4,0.8207,3223127.43,9.0,0.0,3.0,BR,4,cat_5671b6e,0.5239893115084655,512.0,512.0,1,,Y,2020-04-18 11:24:54,45.1,70
4,0.7469,2858134.87,27.0,0.0,189.0,AR,11,cat_4109cab,0.0540723040687645,4810.0,191.0,1,,Y,2020-04-18 11:52:11,105.11,47
2,0.7711,182501.56,10.0,0.0,3.0,BR,14,cat_57de1f3,0.2827108918722167,1238.0,27.0,1,,N,2020-04-18 12:37:42,48.8,95
4,0.8272,1994.66,2.0,0.1382765531062124,66.0,BR,4,cat_537deba,0.0306234867442576,2580.0,22.0,1,Y,N,2020-04-18 12:47:48,9.83,35
4,0.5692,5382.55,6.0,0.4922901098901098,10.0,AR,24,cat_eb3c764,0.33028655601845,2496.0,84.0,1,,N,2020-04-18 13:04:51,8.73,30
4,0.8453,17295.03,40.0,0.0,76.0,BR,14,cat_c663823,0.6662939432689292,3979.0,98.0,1,Y,Y,2020-04-18 13:14:31,27.29,57
2,0.1049,50.3,2.0,0.0,5.0,AR,2,cat_6cec7af,0.3623500439261526,1124.0,111.0,1,,Y,2020-04-18 13:17:55,36.06,46
4,0.7249,36515.29,2.0,0.26125,1.0,BR,29,cat_262daa6,0.6089381309418868,174.0,63.0,1,,N,2020-04-18 13:47:56,15.75,62
4,0.7176,7167.2,50.0,0.0,39.0,BR,8,cat_bd0acbd,0.4925854891341607,1941.0,666.0,1,,Y,2020-04-18 15:08:43,59.06,67
4,0.7381,43215.42,17.0,0.2785571142284569,0.0,BR,1,cat_535337c,0.7554157430448853,402.0,401.0,1,,Y,2020-04-18 16:07:38,9.83,21
4,0.5804,1023059.62,4.0,0.2511698113207547,9.0,AR,47,cat_71b6c9c,0.6695399626518714,2748.0,401.0,1,,Y,2020-04-18 16:07:49,16.27,28
1,0.7781,5276803.18,1.0,0.0599686154588983,41.0,BR,2,cat_43b9c10,0.3451592436396566,4212.0,0.0,1,N,N,2020-04-18 17:04:12,244.72,93
4,0.7406,537271.41,7.0,0.1791491911324146,27.0,BR,30,cat_055bd28,0.3356769583579044,1492.0,17.0,1,Y,N,2020-04-18 17:27:24,32.87,5
4,0.7863,1704069.17,5.0,0.1608391608391608,2.0,BR,16,cat_55c3f5d,0.837661487025521,1014.0,54.0,1,,N,2020-04-18 18:03:39,8.45,51
4,0.7434,7330.8,50.0,0.1342412451361867,4.0,BR,6,cat_7d24ff9,0.4272908396844492,1052.0,281.0,1,,Y,2020-04-18 18:06:17,10.12,17
4,0.7751,47714.22,50.0,0.2149460708782742,16.0,BR,3,cat_9eff754,0.4440170497402853,1299.0,1033.0,1,Y,Y,2020-04-18 18:30:32,25.56,25
4,0.6176,80307.39,11.0,0.1627829457364341,7.0,AR,19,cat_586166c,0.7789859079269732,2336.0,50.0,0,,N,2020-04-18 18:40:55,19.8,0
2,0.6875,29970.42,28.0,0.0,4.0,AR,8,cat_3cc7ffb,0.466997904656516,843.0,164.0,1,,Y,2020-04-18 18:40:58,68.79,53
4,0.8043,109304.58,28.0,0.0,1.0,BR,57,cat_7924e7a,0.1208137268662135,435.0,88.0,1,,N,2020-04-18 19:27:31,45.29,53
4,0.8068,44878.16,18.0,0.2345881069285324,0.0,BR,3,cat_e41d6ce,0.0006476856638286,183.0,175.0,1,,Y,2020-04-18 20:01:36,10.83,94
4,0.5186,6760.47,34.0,0.0921720545017365,0.0,BR,37,cat_722e28d,0.927339147787208,1738.0,96.0,0,,N,2020-04-18 20:06:45,14.74,98
4,0.7741,32179.81,50.0,0.4736842105263157,4.0,BR,25,cat_d69d46a,0.1799492018452575,2140.0,410.0,1,,Y,2020-04-18 20:08:33,7.86,5
4,0.7615,123637.26,2.0,0.1468085106382978,3.0,BR,16,cat_392d1be,0.9402769689428324,1225.0,82.0,1,,N,2020-04-18 20:41:54,9.26,73
4,0.7187,90661.65,17.0,0.0,2.0,BR,11,cat_960e53d,0.6549412921979609,1686.0,66.0,1,,N,2020-04-18 20:49:02,27.37,4
4,0.7383,174401.24,1.0,0.0,89.0,BR,7,cat_e41d6ce,0.0538363841747298,4738.0,0.0,1,,N,2020-04-18 21:28:07,31.49,27
3,0.7563,37838.06,50.0,0.0,6.0,BR,41,cat_1e6a9b0,0.4194744702869712,5393.0,592.0,1,,Y,2020-04-18 21:44:12,70.89,59
4,0.645,86744.83,12.0,0.2130118343195266,1.0,AR,27,cat_efd0a78,0.2192958008615342,275.0,34.0,1,Y,N,2020-04-18 22:16:06,25.94,1
2,0.6364,666.11,50.0,0.0,746.0,AR,0,cat_de00f66,0.6477167127273162,4330.0,336.0,1,,Y,2020-04-18 22:22:51,18.37,59
4,0.6556,37365.13,50.0,0.8369711726596808,15.0,AR,48,cat_a7d0f74,0.4785327641327299,2993.0,843.0,1,,Y,2020-04-18 22:25:35,7.06,70
4,0.3696,433212.66,5.0,0.2951686746987951,14.0,AR,4,cat_3203c7c,0.3293946484070495,3919.0,375.0,1,,N,2020-04-18 22:30:46,12.74,22
4,0.5933,364344.56,6.0,0.928552477979412,46.0,AR,22,cat_f3b3dd5,0.2384613072623587,2515.0,551.0,1,,Y,2020-04-18 22:50:59,5.78,62
4,0.7484,2333295.46,50.0,0.0,5.0,BR,1,cat_4109cab,0.0449615151713658,1896.0,353.0,1,Y,Y,2020-04-19 00:09:22,38.97,15
4,0.8958,842.21,4.0,0.0326884589726484,1.0,BR,2,cat_ffe7351,0.468498733660585,110.0,12.0,1,N,N,2020-04-19 01:14:11,29.52,91
4,0.7575,13671.75,33.0,0.4625313732520616,11.0,BR,5,cat_3e13850,0.4830886905571283,1112.0,135.0,1,,Y,2020-04-19 07:04:20,5.49,67
4,0.8307,6649.72,10.0,0.2628062360801781,59.0,BR,4,cat_381751d,0.9196789358959983,6684.0,816.0,1,Y,Y,2020-04-19 07:47:56,4.42,7
4,0.6266,24743.7,50.0,0.0987124463519313,5.0,BR,4,cat_c735818,0.9557504174008392,1438.0,371.0,1,Y,Y,2020-04-19 07:52:38,13.77,18
4,0.8906,968185.57,9.0,0.0,5.0,AR,18,cat_6e079a0,0.372534796023725,1005.0,88.0,1,,N,2020-04-19 11:47:13,210.24,27
4,0.7959,33774.29,2.0,0.0355670103092783,1.0,BR,2,cat_4c19715,0.7294080910258031,82.0,43.0,0,N,N,2020-04-19 12:40:49,38.2,86
1,0.8784,3017374.15,50.0,0.1310077519379844,19.0,BR,21,cat_d26ab52,0.0568524718970984,742.0,661.0,1,,Y,2020-04-19 12:47:08,25.4,52
4,0.7614,424412.02,39.0,0.0,100.0,AR,40,cat_fd1336f,0.1962617626558937,5756.0,335.0,1,,Y,2020-04-19 12:48:38,2366.83,73
4,0.79,18590.47,1.0,0.1923076923076923,11.0,UY,9,cat_6c4d015,0.7344641767393724,102.0,1.0,1,,N,2020-04-19 13:15:13,17.8,93
4,0.9652,3140.82,50.0,0.1556728232189973,61.0,BR,0,cat_52763db,0.8802123947799245,3077.0,907.0,1,,Y,2020-04-19 13:51:52,7.46,39
4,0.606,21882.75,8.0,0.4261037037037037,11.0,US,12,cat_c0536e6,0.582247138631974,2586.0,155.0,1,N,Y,2020-04-19 14:38:36,20.72,18
4,0.7851,18140.02,50.0,0.0,563.0,BR,37,cat_954c34d,0.9272538535157082,5442.0,1198.0,1,,Y,2020-04-19 14:50:09,91.57,7
4,0.7941,6058.82,37.0,0.0873417721518987,5.0,BR,0,cat_e449f09,0.7229133476139324,1079.0,349.0,1,,Y,2020-04-19 15:05:25,15.56,14
3,0.7667,2145929.35,50.0,0.0124691396606143,63.0,AR,2,cat_e5ca240,0.5449103118138474,1474.0,301.0,1,,Y,2020-04-19 17:12:24,491.08,11
4,0.7093,1332.66,50.0,0.215035839306551,105.0,BR,2,cat_314069c,0.7052091171803027,4303.0,1016.0,1,,Y,2020-04-19 17:27:15,11.81,40
2,0.835,538.84,50.0,0.0,157.0,BR,6,cat_1b32044,0.7113847301421714,4648.0,870.0,1,,Y,2020-04-19 17:36:41,2.56,26
4,0.8076,453364.23,4.0,0.2485380116959064,0.0,BR,24,cat_73ec400,0.8067593875737593,22.0,22.0,0,,N,2020-04-19 18:18:56,9.43,96
4,0.8395,92487.34,50.0,0.0,3.0,BR,8,cat_5751691,0.9589275044716884,3346.0,952.0,1,,Y,2020-04-19 18:31:16,41.34,52
4,0.7676,157059.4,21.0,0.1453333333333333,104.0,BR,9,cat_1011c51,0.6121177546678708,3365.0,241.0,1,N,Y,2020-04-19 19:03:00,14.77,4
4,0.8155,10727.74,50.0,0.3425605536332179,1.0,BR,41,cat_abbdb6d,0.0288664169819092,847.0,466.0,1,N,Y,2020-04-19 19:21:48,5.69,18
4,0.7239,107443.8,50.0,0.0,11.0,BR,7,cat_b7febb2,0.6624200242768552,2417.0,594.0,1,Y,Y,2020-04-19 19:51:41,23.63,59
4,0.5938,52907.56,3.0,0.141125,0.0,AR,1,cat_7bf100b,0.5799457125064186,565.0,565.0,1,,Y,2020-04-19 20:04:36,38.06,22
4,0.8093,18217.67,1.0,0.1338345864661654,4.0,BR,45,cat_d1d9bc6,0.2766717633928337,2925.0,0.0,1,,N,2020-04-19 20:26:56,13.1,66
4,0.6562,216734.09,46.0,0.0,17.0,UY,6,cat_c6b9cee,0.7838800647555004,2226.0,147.0,1,,Y,2020-04-19 20:42:18,31.5,65
4,0.8689,7190.71,9.0,0.1498660415271265,18.0,BR,42,cat_960e53d,0.3512124371367839,3697.0,894.0,1,Y,Y,2020-04-19 20:59:38,23.52,73
4,0.8961,137440.85,42.0,0.0,2.0,BR,0,cat_a4921b8,0.930902089741302,259.0,257.0,1,,Y,2020-04-19 21:36:09,138.84,32
4,0.7465,945039.47,46.0,0.5898215227468288,4.0,AR,13,cat_b6a79ac,0.6790706258225647,4786.0,199.0,1,,N,2020-04-19 22:01:26,11.06,12
4,0.7275,2134.67,1.0,0.0,3.0,AR,2,cat_c9d40fc,0.8171595876050901,290.0,28.0,1,Y,N,2020-04-20 00:26:21,46.04,29
4,0.6687,2840.94,3.0,0.4694444444444444,377.0,BR,54,cat_a7d0f74,0.5503988883757458,6424.0,54.0,1,Y,N,2020-04-20 01:59:34,7.09,53
4,0.7785,39908.56,20.0,0.0,28.0,BR,24,cat_45fb55e,0.4256499489342786,4747.0,279.0,1,,Y,2020-04-20 05:55:00,32.47,32
4,0.7346,5543.16,2.0,0.3483709273182957,1.0,BR,26,cat_7ccaf9e,0.0590245190467406,3232.0,66.0,1,,N,2020-04-20 06:17:57,7.86,46
4,0.8425,5092.14,50.0,0.2265696087352138,21.0,BR,2,cat_aa51e22,0.7654407838392778,2373.0,1354.0,1,,Y,2020-04-20 08:49:46,21.64,34
4,0.7359,20886.17,50.0,0.0246428571428571,32.0,BR,0,cat_7d79cff,0.0499042987496878,728.0,567.0,1,,Y,2020-04-20 09:01:51,55.14,29
4,0.6111,2784.23,4.0,0.1473640350877192,19.0,AR,10,cat_80e7cd7,0.4456031596849641,2392.0,663.0,0,,N,2020-04-20 09:56:31,34.99,5
4,0.6387,832270.67,2.0,0.0,0.0,AR,1,cat_afd9b95,0.8823194111160076,434.0,116.0,1,,Y,2020-04-20 10:06:52,92.07,29
4,0.7653,4810.87,50.0,0.1983967935871743,104.0,BR,13,cat_f0ec611,0.1921780871742484,2855.0,1142.0,1,,Y,2020-04-20 10:17:12,9.83,1
4,0.5947,35092.95,28.0,0.0,0.0,AR,22,cat_12a8b9b,0.2678250475354602,128.0,127.0,0,,N,2020-04-20 10:18:51,56.86,26
4,0.8067,18252.83,22.0,0.2225806451612903,1.0,BR,12,cat_b6856a9,0.1767774021259178,1142.0,123.0,1,N,N,2020-04-20 10:51:37,67.15,70
4,0.6781,366306.42,50.0,0.0,12.0,AR,28,cat_b40dd89,0.0354146764965612,1524.0,428.0,1,,Y,2020-04-20 10:59:51,118.77,48
4,0.7384,97363.1,1.0,0.2963741339491916,0.0,AR,19,cat_7273fc8,0.211434204258893,18.0,0.0,0,N,N,2020-04-20 11:00:20,19.94,77
4,0.768,11446.33,20.0,0.1771978021978021,63.0,BR,12,cat_88657e8,0.4500906174059728,2304.0,1023.0,1,,N,2020-04-20 11:55:41,14.34,39
1,0.6539,5886517.52,1.0,0.0099699899966655,19.0,BR,1,cat_e5ca240,0.5899740389566368,1782.0,4.0,1,N,N,2020-04-20 12:11:34,590.6,77
4,0.7923,46520.61,50.0,0.0,11.0,BR,1,cat_4e2d9a5,0.5469321513741789,1801.0,311.0,1,,Y,2020-04-20 12:32:05,67.74,0
4,0.77,114202.24,3.0,0.0,59.0,BR,12,cat_a2e4aa9,0.6255919054360425,3944.0,8.0,1,,N,2020-04-20 12:56:48,354.46,37
4,0.7074,28390.74,1.0,0.0593729152768512,50.0,BR,6,cat_d69bed9,0.7620984744635882,5136.0,0.0,1,,N,2020-04-20 13:17:07,29.52,4
4,0.8735,727569.47,3.0,0.0,1.0,BR,1,cat_8b92772,0.2035690274674948,1630.0,221.0,1,,Y,2020-04-20 13:21:28,56.72,23
4,0.5874,7564.37,50.0,0.2464214285714285,14.0,AR,0,cat_1a32c1a,0.6863583060933642,4905.0,725.0,1,,Y,2020-04-20 13:26:49,21.49,67
4,0.7698,129638.79,50.0,0.1201005025125628,6.0,BR,8,cat_9eaf019,0.7112365736089643,5018.0,815.0,1,,Y,2020-04-20 13:44:20,39.19,10
4,0.7289,19529.14,16.0,0.0,23.0,BR,6,cat_2d99b60,0.1007790493483469,5542.0,83.0,1,,N,2020-04-20 14:01:09,28.73,28
4,0.7507,131079.38,5.0,0.3088888888888888,2.0,BR,25,cat_053699f,0.6309742718841597,228.0,228.0,1,,Y,2020-04-20 14:43:33,8.86,72
2,0.387,363.86,2.0,0.0,7.0,AR,32,cat_d19fb21,0.7101010071885411,123.0,123.0,0,,N,2020-04-20 15:28:49,0.38,38
2,0.9377,26496.81,50.0,0.0,121.0,UY,8,cat_3becde0,0.2743437508521324,3208.0,596.0,1,Y,Y,2020-04-20 15:39:05,479.0,67
4,0.8,4310.88,35.0,0.0,1.0,BR,29,cat_5be94ae,0.9430812173442148,415.0,59.0,1,,N,2020-04-20 15:46:27,35.82,0
4,0.6703,176739.8,5.0,0.0,32.0,AR,8,cat_c514e15,0.8472972952937958,4903.0,742.0,1,,Y,2020-04-20 15:54:12,44.51,73
4,0.8672,1396.06,28.0,0.0,0.0,BR,9,cat_7d79cff,0.0737259949302817,137.0,137.0,0,,N,2020-04-20 16:22:53,27.47,79
4,0.7805,172266.54,50.0,0.0935140700068634,40.0,BR,7,cat_becb32d,0.5717303456295397,2734.0,570.0,1,,Y,2020-04-20 16:52:30,22.95,8
4,0.7006,5581.15,50.0,0.1677697398799445,272.0,BR,0,cat_e5e9ab9,0.5691416977216334,2994.0,459.0,1,Y,Y,2020-04-20 17:03:00,12.54,0
4,0.7145,9530.17,17.0,0.0863579474342928,60.0,BR,1,cat_8226450,0.517793517473386,3534.0,102.0,1,,Y,2020-04-20 17:06:10,15.42,13
4,0.7573,455436.57,11.0,0.0,7.0,AR,20,cat_c5ef7a6,0.8050555302226918,1470.0,494.0,1,,Y,2020-04-20 17:16:19,269.49,14
2,0.7235,27618.29,50.0,0.0,17.0,BR,0,cat_a4a9d00,0.902770405254266,5566.0,244.0,1,,Y,2020-04-20 17:39:47,644.49,32
4,0.5535,2547.42,50.0,0.247495,167.0,AR,33,cat_546a7ca,0.265557619624495,2946.0,994.0,1,,Y,2020-04-20 19:11:49,30.59,2
4,0.8355,18133.39,27.0,0.1695121951219512,4.0,BR,2,cat_400c655,0.7435390224892444,977.0,60.0,1,N,N,2020-04-20 19:12:43,15.82,70
4,0.7319,143070.45,1.0,0.2107895677027509,15.0,BR,14,cat_dbacad7,0.138430348517037,1585.0,0.0,1,Y,N,2020-04-20 19:22:39,5.4,58
4,0.816,210.87,14.0,0.159318637274549,11.0,BR,28,cat_230a743,0.080895426697733,3234.0,229.0,1,,Y,2020-04-20 20:02:41,19.65,65
4,0.4965,2207.67,1.0,0.0,11.0,AR,0,cat_01db132,0.0996209783215746,1846.0,249.0,1,,Y,2020-04-20 20:12:14,67.83,89
4,0.7585,39806.98,50.0,0.4590920748909976,8.0,BR,8,cat_dcac2c4,0.0113041693284614,2340.0,382.0,1,,Y,2020-04-20 20:31:09,7.68,31
4,0.6995,4065.73,48.0,0.215035839306551,0.0,BR,8,cat_ffe7351,0.2270435511737218,1274.0,90.0,1,Y,N,2020-04-20 20:49:26,11.81,78
4,0.5257,27965.9,12.0,0.8416633266533066,0.0,AR,14,cat_d2b0540,0.3432596068227482,597.0,58.0,1,Y,N,2020-04-20 22:30:27,7.66,66
4,0.6167,22605.11,50.0,0.0,23.0,AR,0,cat_ea962fb,0.0550541652485172,1305.0,516.0,1,,Y,2020-04-20 23:32:13,44.51,33
4,0.2059,1282.07,1.0,0.2525014714537963,0.0,BR,38,cat_9a8fa4c,0.3907000694441187,0.0,0.0,0,,N,2020-04-20 23:44:14,33.46,87
4,0.6187,23916.09,1.0,0.2508503401360544,51.0,BR,5,cat_820ba12,0.2129983121318161,4653.0,20.0,1,,N,2020-04-20 23:58:38,4.63,21
4,0.658,312845.17,1.0,0.2969636363636363,31.0,AR,32,cat_4ff2cdf,0.7970261107865894,1968.0,331.0,1,,Y,2020-04-21 00:02:08,25.32,73
4,0.7502,1534.05,50.0,0.0,12.0,UY,14,cat_2d5fad9,0.9609682319041895,2151.0,285.0,1,Y,N,2020-04-21 09:26:08,23.0,52
4,0.761,15019.78,6.0,0.226857490864799,13.0,BR,1,cat_957d3b1,0.8411440926652424,1951.0,49.0,1,,N,2020-04-21 09:27:00,12.67,63
4,0.5454,26422.1,1.0,0.1362569521690767,2.0,AR,34,cat_321e8df,0.1569409186093402,397.0,1.0,1,,N,2020-04-21 09:30:14,27.5,37
4,0.7513,11700.89,6.0,0.122278285376608,79.0,BR,29,cat_f96d89a,0.7516638592502324,3569.0,6.0,1,,N,2020-04-21 09:54:17,42.45,28
4,0.8019,106218.85,50.0,0.2689530685920577,14.0,BR,31,cat_d5f76af,0.9734140086352916,3922.0,839.0,1,Y,Y,2020-04-21 10:18:52,10.69,55
4,0.7752,128937.88,50.0,0.498076923076923,2.0,BR,15,cat_8cd8cc9,0.1801129020319756,3157.0,506.0,1,,Y,2020-04-21 10:59:57,10.03,66
4,0.7974,390584.88,2.0,0.1239048811013767,-1.0,BR,29,cat_048130a,0.5515252169687379,2723.0,1.0,1,,N,2020-04-21 11:03:40,15.42,20
